2024-11-06,886
2024-11-07,877
2024-11-08,777
2024-11-09,647
2024-11-10,563
2024-11-11,604
2024-11-12,911
2024-11-13,967
2024-11-14,993
2024-11-15,858
2024-11-16,692
2024-11-17,572
2024-11-18,682
2024-11-19,931
2024-11-20,946
2024-11-21,806
2024-11-22,724
2024-11-23,692
2024-11-24,632
2024-11-25,688
2024-11-26,832
2024-11-27,701
2024-11-28,259
2024-11-29,748
2024-11-30,696
2024-12-01,566
2024-12-02,692
2024-12-03,928
2024-12-04,838
2024-12-05,816
2024-12-06,776
2024-12-07,644
2024-12-08,570
2024-12-09,598
2024-12-10,829
2024-12-11,747
2024-12-12,762
2024-12-13,688
2024-12-14,559
2024-12-15,553
2024-12-16,545
2024-12-17,868
2024-12-18,770
2024-12-19,790
2024-12-20,665
2024-12-21,558
2024-12-22,516
2024-12-23,550
2024-12-24,310
2024-12-25,283
2024-12-26,674
2024-12-27,681
2024-12-28,643
2024-12-29,617
2024-12-30,591
2024-12-31,449
2025-01-01,702
2025-01-02,912
2025-01-03,839
2025-01-04,695
2025-01-05,631
2025-01-06,626
2025-01-07,889
2025-01-08,951
2025-01-09,880
2025-01-10,889
2025-01-11,675
2025-01-12,687
2025-01-13,757
2025-01-14,937
2025-01-15,1071
2025-01-16,952
2025-01-17,861
2025-01-18,658
2025-01-19,540
2025-01-20,592
2025-01-21,912
2025-01-22,915
2025-01-23,926
2025-01-24,836
2025-01-25,714
2025-01-26,521
2025-01-27,629
2025-01-28,841
2025-01-29,941
2025-01-30,909
2025-01-31,671
2025-02-01,698
2025-02-02,567
2025-02-03,718
2025-02-04,951
2025-02-05,1018
2025-02-06,949
2025-02-07,872
2025-02-08,678
2025-02-09,433
2025-02-10,710
2025-02-11,878
2025-02-12,1011
2025-02-13,891
2025-02-14,803
2025-02-15,619
2025-02-16,576
2025-02-17,761
2025-02-18,875
2025-02-19,939
2025-02-20,836
2025-02-21,804
2025-02-22,692
2025-02-23,611
2025-02-24,732
2025-02-25,916
2025-02-26,984
2025-02-27,855
2025-02-28,721
2025-03-01,683
2025-03-02,605
2025-03-03,710
2025-03-04,895
2025-03-05,926
2025-03-06,979
2025-03-07,795
2025-03-08,704
2025-03-09,643
2025-03-10,750
2025-03-11,1054
2025-03-12,1125
2025-03-13,927
2025-03-14,765
2025-03-15,734
2025-03-16,576
2025-03-17,658
2025-03-18,982
2025-03-19,1089
2025-03-20,924
2025-03-21,841
2025-03-22,652
2025-03-23,612
2025-03-24,648
2025-03-25,861
2025-03-26,946
2025-03-27,793
2025-03-28,711
2025-03-29,673
2025-03-30,564
2025-03-31,546
